accession	nid	size	phylum	genus	species	strain	trophic	pathogenic
X72495	X72495.1 GI:473100	405	Euryarchaeota	Natrialba	magadii		h	u
L36458	g548234	186	Euryarchaeota	Pyrococcus	furiosus		h	u
Z54172	g987962	188	Euryarchaeota	Pyrococcus	sp		h	u
M19344	g154682	257	Euryarchaeota	Thermococcus	celer		h	n
Z70244	g1235787	181	Euryarchaeota	Thermococcus	hydrothermalis		h	n
Z75218	g1480366	190	Euryarchaeota	Thermococcus	mexicalis		h	n
Z75233	g1480367	180	Euryarchaeota	Thermococcus	profundus		h	n
Z75240	g1480368	181	Euryarchaeota	Thermococcus	stetteri		h	n
AF005315	g2337955	332	Firmicutes	Acholeplasma	axanthum		h	p
AF005316	g2337956	159	Firmicutes	Acholeplasma	axanthum		h	p
AF005318	g2695643	175	Firmicutes	Acholeplasma	brassicae		h	p
AF005317	g2695642	319	Firmicutes	Acholeplasma	brassicae		h	p
AF294996	AF294996.1 GI:14626	177	Firmicutes	Acholeplasma	laidlawii		h	p
E07208	g2175349	374	Firmicutes	Acholeplasma	laidlawii		h	p
E07209	g2175350	166	Firmicutes	Acholeplasma	laidlawii		h	p
AF005319	g2695644	249	Firmicutes	Acholeplasma	modicum		h	p
AF005320	g2695645	145	Firmicutes	Acholeplasma	modicum		h	p
AF005321	g2707193	348	Firmicutes	Acholeplasma	oculi		h	p
AF005322	g2707194	181	Firmicutes	Acholeplasma	oculi		h	p
AF005323	g2707195	335	Firmicutes	Acholeplasma	palmae		h	p
AF005324	g2707196	149	Firmicutes	Acholeplasma	palmae		h	p
AF005325	g2337953	353	Firmicutes	Anaeroplasma	abactoclasticum		h	p
AF005326	g2707197	198	Firmicutes	Anaeroplasma	abactoclasticum		h	p
AF293851	AF293851.1 GI:98024	144	Firmicutes	Bacillus	cereus		h	n
X89896	g927388	143	Firmicutes	Bacillus	cereus		h	n
X94448	g1149455	142	Firmicutes	Bacillus	cereus		h	n
K00637	g143425	168	Firmicutes	Bacillus	subtilis		h	n
Z99104	Z99104.1 GI:2632267	346	Firmicutes	Bacillus	subtilis		h	n
Z99104	Z99104.1 GI:2632267-	168	Firmicutes	Bacillus	subtilis		h	n
Z99104	Z99104.1 GI:2632267-	167	Firmicutes	Bacillus	subtilis		h	n
Z99104	Z99104.1 GI:2632267-	166	Firmicutes	Bacillus	subtilis		h	n
Z99107	Z99107.1 GI:2632866	168	Firmicutes	Bacillus	subtilis		h	n
Z99108	Z99108.1 GI:2633055	169	Firmicutes	Bacillus	subtilis		h	n
Z99119	Z99119.1 GI:2635411	169	Firmicutes	Bacillus	subtilis		h	n
AF008220	g2293135	168	Firmicutes	Bacillus	subtilis		h	n
X89895	g927390	141	Firmicutes	Bacillus	thuringiensis		h	p
U20789	g676876	144	Firmicutes	Bacillus	thuringiensis		h	p
AF056004	g3065731	517	Firmicutes	Clavibacter	xyli		h	u
AF056003	g3065730	536	Firmicutes	Clavibacter	xyli		h	u
M97699	g304456	365	Firmicutes	Clostridium	botulinum		h	p
AB040718	AB040718.1 GI:12038	250	Firmicutes	Clostridium	carnis		h	p
AB040719	AB040719.1 GI:12038	442	Firmicutes	Clostridium	carnis		h	p
AB040720	AB040720.1 GI:12038	461	Firmicutes	Clostridium	carnis		h	p
AB040721	AB040721.1 GI:12038	499	Firmicutes	Clostridium	carnis		h	p
AB040540	AB040540.1 GI:12038	228	Firmicutes	Clostridium	chauvoei		h	p
AB040541	AB040541.1 GI:12038	305	Firmicutes	Clostridium	chauvoei		h	p
AB040542	AB040542.1 GI:12038	383	Firmicutes	Clostridium	chauvoei		h	p
AB040712	AB040712.1 GI:12038	228	Firmicutes	Clostridium	chauvoei		h	p
AB040713	AB040713.1 GI:12038	305	Firmicutes	Clostridium	chauvoei		h	p
AB040714	AB040714.1 GI:12038	383	Firmicutes	Clostridium	chauvoei		h	p
AJ132322	AJ132322.1 GI:53609	178	Firmicutes	Clostridium	difficile		h	p
AB040728	AB040728.1 GI:12039	159	Firmicutes	Clostridium	haemolyticum		h	p
AB040729	AB040729.1 GI:12039	318	Firmicutes	Clostridium	haemolyticum		h	p
AB040730	AB040730.1 GI:12039	372	Firmicutes	Clostridium	haemolyticum		h	p
AB040722	AB040722.1 GI:12038	172	Firmicutes	Clostridium	novyi		h	p
AB040723	AB040723.1 GI:12039	365	Firmicutes	Clostridium	novyi		h	p
AB040724	AB040724.1 GI:12039	410	Firmicutes	Clostridium	novyi		h	p
AB040725	AB040725.1 GI:12039	159	Firmicutes	Clostridium	novyi		h	p
AB040726	AB040726.1 GI:12039	322	Firmicutes	Clostridium	novyi		h	p
AB040727	AB040727.1 GI:12039	372	Firmicutes	Clostridium	novyi		h	p
AB045282	AB045282.1 GI:16904	187	Firmicutes	Clostridium	perfringens		h	p
AB045283	AB045283.1 GI:16904	187	Firmicutes	Clostridium	perfringens		h	p
AB045284	AB045284.1 GI:16904	187	Firmicutes	Clostridium	perfringens		h	p
AB045285	AB045285.1 GI:16904	187	Firmicutes	Clostridium	perfringens		h	p
AB045286	AB045286.1 GI:16904	187	Firmicutes	Clostridium	perfringens		h	p
AB045287	AB045287.1 GI:16904	188	Firmicutes	Clostridium	perfringens		h	p
AB045288	AB045288.1 GI:16904	187	Firmicutes	Clostridium	perfringens		h	p
AB045289	AB045289.1 GI:16904	421	Firmicutes	Clostridium	perfringens		h	p
AB045290	AB045290.1 GI:16904	419	Firmicutes	Clostridium	perfringens		h	p
AB045291	AB045291.1 GI:16904	420	Firmicutes	Clostridium	perfringens		h	p
AB040736	AB040736.1 GI:12039	185	Firmicutes	Clostridium	perfringens		h	p
AB040737	AB040737.1 GI:12039	419	Firmicutes	Clostridium	perfringens		h	p
AB040715	AB040715.1 GI:12038	302	Firmicutes	Clostridium	septicum		h	p
AB040716	AB040716.1 GI:12038	378	Firmicutes	Clostridium	septicum		h	p
AB040717	AB040717.1 GI:12038	456	Firmicutes	Clostridium	septicum		h	p
AB040731	AB040731.1 GI:12039	139	Firmicutes	Clostridium	sordellii		h	p
AB040732	AB040732.1 GI:12039	196	Firmicutes	Clostridium	sordellii		h	p
AB040733	AB040733.1 GI:12039	198	Firmicutes	Clostridium	sordellii		h	p
AB040734	AB040734.1 GI:12039	228	Firmicutes	Clostridium	sordellii		h	p
AB040735	AB040735.1 GI:12039	245	Firmicutes	Clostridium	sordellii		h	p
X87177	g1848154	330	Firmicutes	Enterococcus	durans		h	p
X87178	g1848155	277	Firmicutes	Enterococcus	durans		h	p
X87186	g1848164	328	Firmicutes	Enterococcus	faecalis		h	p
X87182	g1848166	226	Firmicutes	Enterococcus	faecalis		h	p
X79343	g4165458	229	Firmicutes	Enterococcus	faecium		h	p
X79342	g4165457	326	Firmicutes	Enterococcus	faecium		h	p
AF003921	g2197119	447	Firmicutes	Enterococcus	faecium		h	p
AF003922	g2197120	349	Firmicutes	Enterococcus	faecium		h	p
AF028836	g2746216	334	Firmicutes	Enterococcus	faecium		h	p
X87184	g1848171	232	Firmicutes	Enterococcus	hirae		h	p
X87188	g1848173	230	Firmicutes	Enterococcus	mundtii		h	p
X87187	g1848174	331	Firmicutes	Enterococcus	mundtii		h	p
AF182726	AF182726.1 GI:65372	204	Firmicutes	Lactobacillus	acidophilus		h	n
U32971	g1870242	206	Firmicutes	Lactobacillus	acidophilus		h	n
Z75466	g1771109	450	Firmicutes	Lactobacillus	acidophilus		h	n
Z75467	g1771110	198	Firmicutes	Lactobacillus	acidophilus		h	n
Z75472	g1771112	204	Firmicutes	Lactobacillus	acidophilus		h	n
Z75473	g1771113	451	Firmicutes	Lactobacillus	acidophilus		h	n
AF182732	AF182732.1 GI:65372	202	Firmicutes	Lactobacillus	amylovorus		h	n
E07130	g2175280	214	Firmicutes	Lactobacillus	brevis		h	n
E08785	g2176897	214	Firmicutes	Lactobacillus	brevis		h	n
X74221	g410479	217	Firmicutes	Lactobacillus	brevis		h	n
Z75475	g1771117	455	Firmicutes	Lactobacillus	bulgaricus		h	n
Z75476	g1771118	217	Firmicutes	Lactobacillus	bulgaricus		h	n
AF121200	AF121200.1 GI:59029	217	Firmicutes	Lactobacillus	casei		h	n
AF182729	AF182729.1 GI:65372	219	Firmicutes	Lactobacillus	casei		h	n
X74220	g410480	220	Firmicutes	Lactobacillus	casei		h	n
Z75478	g1771130	432	Firmicutes	Lactobacillus	casei		h	n
Z75479	g1771131	218	Firmicutes	Lactobacillus	casei		h	n
AF182719	AF182719.1 GI:65372	205	Firmicutes	Lactobacillus	crispatus		h	n
AF074857	g5381282	203	Firmicutes	Lactobacillus	crispatus		h	n
AF074858	g5381283	220	Firmicutes	Lactobacillus	curvatus		h	n
U97129	g3046883	222	Firmicutes	Lactobacillus	curvatus		h	n
U97135	g3046889	437	Firmicutes	Lactobacillus	curvatus		h	n
Z75469	g1771127	426	Firmicutes	Lactobacillus	curvatus		h	n
Z75470	g1771128	219	Firmicutes	Lactobacillus	curvatus		h	n
U32968	g1854590	220	Firmicutes	Lactobacillus	delbrueckii		h	n
AF113602	AF113602.1 GI:50814	220	Firmicutes	Lactobacillus	delbrueckii		h	n
AF182720	AF182720.1 GI:65372	197	Firmicutes	Lactobacillus	fermentum		h	n
AF080099	g3420784	277	Firmicutes	Lactobacillus	fermentum		h	n
AF182721	AF182721.1 GI:65372	220	Firmicutes	Lactobacillus	gasseri		h	n
AF074859	g5381284	216	Firmicutes	Lactobacillus	gasseri		h	n
U97130	g3046884	222	Firmicutes	Lactobacillus	graminis		h	n
U97136	g3046890	437	Firmicutes	Lactobacillus	graminis		h	n
AF113601	AF113601.1 GI:50814	202	Firmicutes	Lactobacillus	hamsteri		h	n
AF182728	AF182728.1 GI:65372	203	Firmicutes	Lactobacillus	helveticus		h	n
U32970	g1854592	205	Firmicutes	Lactobacillus	helveticus		h	n
Z75482	g1771191	455	Firmicutes	Lactobacillus	helveticus		h	n
Z75483	g1771192	204	Firmicutes	Lactobacillus	helveticus		h	n
E07125	g2175275	203	Firmicutes	Lactobacillus	japonicus		h	n
E08780	g2176892	203	Firmicutes	Lactobacillus	japonicus		h	n
X74222	g410493	206	Firmicutes	Lactobacillus	japonicus		h	n
AF074860	g5381285	215	Firmicutes	Lactobacillus	johnsonii		h	n
U32964	g1854587	221	Firmicutes	Lactobacillus	paracasei		h	n
AF182724	AF182724.1 GI:65372	219	Firmicutes	Lactobacillus	paracasei		h	n
U97132	g3046886	205	Firmicutes	Lactobacillus	paraplantarum		h	n
U97138	g3046892	435	Firmicutes	Lactobacillus	paraplantarum		h	n
U97134	g3046888	205	Firmicutes	Lactobacillus	pentosus		h	n
U97140	g3046894	439	Firmicutes	Lactobacillus	pentosus		h	n
U97141	g3046895	439	Firmicutes	Lactobacillus	pentosus		h	n
AF182722	AF182722.1 GI:65372	205	Firmicutes	Lactobacillus	plantarum		h	n
AB083119	AB083119.1 GI:20086	203	Firmicutes	Lactobacillus	plantarum		h	n
AB083122	AB083122.1 GI:20086	203	Firmicutes	Lactobacillus	plantarum		h	n
AB083116	AB083116.1 GI:20086	203	Firmicutes	Lactobacillus	plantarum		h	n
AB083120	AB083120.1 GI:20086	203	Firmicutes	Lactobacillus	plantarum		h	n
AB083123	AB083123.1 GI:20086	203	Firmicutes	Lactobacillus	plantarum		h	n
U97133	g3046887	205	Firmicutes	Lactobacillus	plantarum		h	n
U97139	g3046893	434	Firmicutes	Lactobacillus	plantarum		h	n
AF080101	g3420786	276	Firmicutes	Lactobacillus	plantarum		h	n
E07126	g2175276	203	Firmicutes	Lactobacillus	plantarum		h	n
E08781	g2176893	203	Firmicutes	Lactobacillus	plantarum		h	n
AF182723	AF182723.1 GI:65372	203	Firmicutes	Lactobacillus	reuteri		h	n
AF080100	g3420785	283	Firmicutes	Lactobacillus	reuteri		h	n
AF121201	AF121201.1 GI:59029	218	Firmicutes	Lactobacillus	rhamnosus		h	n
AF182730	AF182730.1 GI:65372	220	Firmicutes	Lactobacillus	rhamnosus		h	n
AB083114	AB083114.1 GI:20086	219	Firmicutes	Lactobacillus	rhamnosus		h	n
E08782	g2176894	217	Firmicutes	Lactobacillus	rhamnosus		h	n
U32966	g1854588	222	Firmicutes	Lactobacillus	rhamnosus		h	n
AF080103	g3420788	294	Firmicutes	Lactobacillus	ruminis		h	n
U97131	g3046885	226	Firmicutes	Lactobacillus	sake		h	n
U97137	g3046891	436	Firmicutes	Lactobacillus	sake		h	n
AF080102	g3420787	297	Firmicutes	Lactobacillus	salivarius		h	n
AF113600	AF113600.1 GI:50814	210	Firmicutes	Lactobacillus	salivarius		h	n
AF182725	AF182725.1 GI:65372	207	Firmicutes	Lactobacillus	salivarius		h	n
AF074861	g5381286	221	Firmicutes	Lactobacillus	sharpeae		h	n
E08784	g2176896	214	Firmicutes	Lactobacillus	sp		h	n
E08786	g2176898	221	Firmicutes	Lactobacillus	sp		h	n
E08778	g2176890	216	Firmicutes	Lactobacillus	sp		h	n
E08779	g2176891	208	Firmicutes	Lactobacillus	sp		h	n
E08783	g2176895	217	Firmicutes	Lactobacillus	sp		h	n
AF182731	AF182731.1 GI:65372	202	Firmicutes	Lactobacillus	vaginalis		h	n
AF074862	g5381287	217	Firmicutes	Lactobacillus	zeae		h	n
X83762	g758137	304	Firmicutes	Lactococcus	lactis		h	n
X64887	g44070	304	Firmicutes	Lactococcus	lactis		h	n
U32972	g1854593	304	Firmicutes	Lactococcus	lactis		h	n
Z75492	g1771213	375	Firmicutes	Leuconostoc	lactis		h	u
Z75494	g1771134	376	Firmicutes	Leuconostoc	mesenteroides		h	u
Z75488	g1771146	376	Firmicutes	Leuconostoc	mesenteroides		h	u
X90764	g1684702	374	Firmicutes	Leuconostoc	mesenteroides		h	u
Z75485	g1771222	376	Firmicutes	Leuconostoc	mesenteroides		h	u
U57918	g1418222	457	Firmicutes	Listeria	grayi		h	p
U78983	g1685192	232	Firmicutes	Listeria	grayi		h	p
U57914	g1418224	244	Firmicutes	Listeria	innocua		h	p
U57915	g1418225	493	Firmicutes	Listeria	innocua		h	p
U57913	g1418223	490	Firmicutes	Listeria	ivanovii		h	p
U78981	g1685190	244	Firmicutes	Listeria	ivanovii		h	p
U44061	g1184083	494	Firmicutes	Listeria	monocytogenes		h	p
U44062	g1184084	243	Firmicutes	Listeria	monocytogenes		h	p
U44063	g1184085	261	Firmicutes	Listeria	monocytogenes		h	p
U57912	g1418226	504	Firmicutes	Listeria	monocytogenes		h	p
U78980	g1685189	244	Firmicutes	Listeria	monocytogenes		h	p
U57916	g1418227	495	Firmicutes	Listeria	seeligeri		h	p
U78984	g1685193	244	Firmicutes	Listeria	seeligeri		h	p
U57917	g1418228	497	Firmicutes	Listeria	welshimeri		h	p
U78982	g1685191	243	Firmicutes	Listeria	welshimeri		h	p
AF005328	g2707199	243	Firmicutes	Mesoplasma	florum		h	u
X58560	X58560.1 GI:44159	183	Firmicutes	Mycoplasma	arginini		h	p
AF294994	AF294994.1 GI:14626	187	Firmicutes	Mycoplasma	arginini		h	p
X58557	g44158	221	Firmicutes	Mycoplasma	arthritidis		h	p
M94728	g150133	226	Firmicutes	Mycoplasma	capricolum		h	p
X00921	g44206	226	Firmicutes	Mycoplasma	capricolum		h	p
AJ243864	AJ243864.1 GI:66249	196	Firmicutes	Mycoplasma	equirhinis		h	p
AJ243863	AJ243863.1 GI:66249	208	Firmicutes	Mycoplasma	felis		h	p
AF294992	AF294992.1 GI:14626	318	Firmicutes	Mycoplasma	fermentans		h	p
X58553	g44272	313	Firmicutes	Mycoplasma	fermentans		h	p
L08896	g150195	586	Firmicutes	Mycoplasma	gallisepticum		h	p
U39694	g3844730	202	Firmicutes	Mycoplasma	genitalium		h	p
AB080799	AB080799.1 GI:19223	232	Firmicutes	Mycoplasma	haemomuris		h	p
AF294989	AF294989.1 GI:14626	188	Firmicutes	Mycoplasma	hominis		h	p
AF294990	AF294990.1 GI:14626	187	Firmicutes	Mycoplasma	hominis		h	p
AF294991	AF294991.1 GI:14626	186	Firmicutes	Mycoplasma	hominis		h	p
X58559	g44347	184	Firmicutes	Mycoplasma	hominis		h	p
M30377	g175456	500	Firmicutes	Mycoplasma	hyopneumoniae		h	p
X58551	g44358	495	Firmicutes	Mycoplasma	hyopneumoniae		h	p
AF294993	AF294993.1 GI:14626	265	Firmicutes	Mycoplasma	hyorhinis		h	p
X58555	g44359	261	Firmicutes	Mycoplasma	hyorhinis		h	p
U29676	g942588	221	Firmicutes	Mycoplasma	iowae		h	p
X58552	g44471	315	Firmicutes	Mycoplasma	neurolyticum		h	p
AF294995	AF294995.1 GI:14626	242	Firmicutes	Mycoplasma	orale		h	p
X58556	g44474	238	Firmicutes	Mycoplasma	orale		h	p
X58554	g44502	289	Firmicutes	Mycoplasma	pulmonis		h	p
X58558	g44505	217	Firmicutes	Mycoplasma	salivarium		h	p
X95706	g1200109	217	Firmicutes	Mycoplasma	sp		h	p
U15442	g567051	222	Firmicutes	Mycoplasma	sp		h	p
M86340	g149863	243	Firmicutes	Mycoplasma	sp		h	p
Y10095	g3618225	206	Firmicutes	Mycoplasmas	unidentified		h	p
Y10096	g3618226	221	Firmicutes	Mycoplasmas	unidentified		h	p
Y10097	g3618227	221	Firmicutes	Mycoplasmas	unidentified		h	p
X90455	g1684703	495	Firmicutes	Oenococcus	oeni		h	u
AB022061	AB022061.1 GI:72880	724	Firmicutes	Pectinatus	cerevisiiphilus		h	u
AB022062	AB022062.1 GI:72880	399	Firmicutes	Pectinatus	cerevisiiphilus		h	u
AB022063	AB022063.1 GI:72880	624	Firmicutes	Pectinatus	frisingensis		h	u
AB022064	AB022064.1 GI:72880	442	Firmicutes	Pectinatus	frisingensis		h	u
AF026077	g2555181	241	Firmicutes	Phytoplasma	broom		h	p
AF025426	g2555177	217	Firmicutes	Phytoplasma	broom		h	p
AF025427	g2555178	241	Firmicutes	Phytoplasma	broom		h	p
Y16390	g3288514	228	Firmicutes	Phytoplasma	broom		h	p
AF336928	AF336928.1 GI:13095	172	Firmicutes	Phytoplasma	broom		h	p
AF086622	AF086622.1 GI:12002	227	Firmicutes	Phytoplasma	broom		h	p
AF190226	AF190226.1 GI:15986	236	Firmicutes	Phytoplasma	broom		h	p
AF190227	AF190227.1 GI:15986	236	Firmicutes	Phytoplasma	broom		h	p
AY072722	AY072722.1 GI:18447	264	Firmicutes	Phytoplasma	broom		h	p
AJ250816	AJ250816.1 GI:64341	232	Firmicutes	Phytoplasma	bud		h	p
AJ250817	AJ250817.1 GI:64341	229	Firmicutes	Phytoplasma	bud		h	p
AJ250822	AJ250822.1 GI:64341	231	Firmicutes	Phytoplasma	bud		h	p
AJ250825	AJ250825.1 GI:64341	231	Firmicutes	Phytoplasma	bud		h	p
AJ251230	AJ251230.1 GI:64568	231	Firmicutes	Phytoplasma	bud		h	p
AF024640	g2612943	76	Firmicutes	Phytoplasma	coconut		h	p
Y16392	g3288578	148	Firmicutes	Phytoplasma	decline		h	p
U54989	g1323777	221	Firmicutes	Phytoplasma	decline		h	p
AY075038	AY075038.1 GI:19347	242	Firmicutes	Phytoplasma	dwarf		h	p
L76865	g2072753	157	Firmicutes	Phytoplasma	grapevine		h	p
AF228052	AF228052.1 GI:13506	251	Firmicutes	Phytoplasma	leaf		h	p
AF421544	AF421544.1 GI:17298	220	Firmicutes	Phytoplasma	leaf		h	p
AF421545	AF421545.1 GI:17298	220	Firmicutes	Phytoplasma	leaf		h	p
AF100412	AF100412.1 GI:50590	246	Firmicutes	Phytoplasma	leaf		h	p
AF026076	g2555180	241	Firmicutes	Phytoplasma	leaf		h	p
U54987	g1323774	231	Firmicutes	Phytoplasma	leafhopper		h	p
AF268000	AF268000.1 GI:80997	296	Firmicutes	Phytoplasma	palm		h	p
AF100411	AF100411.1 GI:50590	288	Firmicutes	Phytoplasma	palm		h	p
AF434989	AF434989.1 GI:16903	257	Firmicutes	Phytoplasma	palm		h	p
AF028814	g2739117	232	Firmicutes	Phytoplasma	pea		h	p
AF037596	g2708676	246	Firmicutes	Phytoplasma	phyllody		h	p
U54985	g1323772	222	Firmicutes	Phytoplasma	proliferation		h	p
Y11933	Y11933.1 GI:1906371	213	Firmicutes	Phytoplasma	sp		h	p
X92869	g1072391	212	Firmicutes	Phytoplasma	sp		h	p
Y15963	g2707945	181	Firmicutes	Phytoplasma	sp		h	p
AF035361	g2660924	206	Firmicutes	Phytoplasma	stolbur		h	p
Y16395	g3288592	299	Firmicutes	Phytoplasma	stunt		h	p
AJ250823	AJ250823.1 GI:64340	253	Firmicutes	Phytoplasma	sugarcane		h	p
AJ250819	AJ250819.1 GI:64340	232	Firmicutes	Phytoplasma	sugarcane		h	p
AJ251228	AJ251228.1 GI:64684	239	Firmicutes	Phytoplasma	sugarcane		h	p
AJ250826	AJ250826.1 GI:64340	235	Firmicutes	Phytoplasma	sugarcane		h	p
AJ250818	AJ250818.1 GI:64340	232	Firmicutes	Phytoplasma	sugarcane		h	p
AJ250815	AJ250815.1 GI:64340	233	Firmicutes	Phytoplasma	sugarcane		h	p
AJ250821	AJ250821.1 GI:64340	231	Firmicutes	Phytoplasma	sugarcane		h	p
AJ250820	AJ250820.1 GI:64340	227	Firmicutes	Phytoplasma	sugarcane		h	p
AF106061	AF106061.1 GI:50590	225	Firmicutes	Phytoplasma	sugarcane		h	p
AF037595	g2708675	265	Firmicutes	Phytoplasma	sugarcane		h	p
AF024641	g2612944	76	Firmicutes	Phytoplasma	virescene		h	p
AF025428	g2555179	216	Firmicutes	Phytoplasma	virescene		h	p
AF421543	AF421543.1 GI:17298	214	Firmicutes	Phytoplasma	western		h	p
U54992	g1323779	242	Firmicutes	Phytoplasma	western		h	p
Y16394	g3288595	152	Firmicutes	Phytoplasma	yellow		h	p
U54990	g1323778	221	Firmicutes	Phytoplasma	yellow		h	p
U43571	g1171227	216	Firmicutes	Phytoplasma	yellow		h	p
Y16387	g3288062	251	Firmicutes	Phytoplasma	yellows		h	p
AF189215	AF189215.1 GI:60078	244	Firmicutes	Phytoplasma	yellows		h	p
AF092209	g3860033	226	Firmicutes	Phytoplasma	yellows		h	p
U54986	g1323773	229	Firmicutes	Phytoplasma	yellows		h	p
AF146530	AF146530.1 GI:61034	253	Firmicutes	Phytoplasma	yellows		h	p
AF029220	g3452207	253	Firmicutes	Phytoplasma	yellows		h	p
Y16391	g3288105	74	Firmicutes	Phytoplasma	yellows		h	p
AF495657	AF495657.1 GI:20257	234	Firmicutes	Phytoplasma	yellows		h	p
AF024639	g2612942	76	Firmicutes	Phytoplasma	yellows		h	p
AF268895	AF268895.1 GI:86995	189	Firmicutes	Phytoplasma	yellows		h	p
AF189214	AF189214.1 GI:60078	271	Firmicutes	Phytoplasma	yellows		h	p
U54991	g1323776	223	Firmicutes	Phytoplasma	yellows		h	p
AY029540	AY029540.1 GI:13774	213	Firmicutes	Phytoplasma	yellows		h	p
U54988	g1323775	222	Firmicutes	Phytoplasma	yellows		h	p
AF035362	g2660925	206	Firmicutes	Phytoplasma	yellows		h	p
AF228699	AF228699.1 GI:97164	221	Firmicutes	Planomicrobium	mcmeekinii		h	u
Y10819	g2414571	339	Firmicutes	Propionibacterium	freudenreichii		h	u
Y11196	g2198532	363	Firmicutes	Rhodococcus	fascians		h	n
AB022065	AB022065.1 GI:72880	321	Firmicutes	Selenomonas	lacticifex		h	u
AB022094	AB022094.1 GI:72880	579	Firmicutes	Selenomonas	lacticifex		h	u
AF005327	g2707198	291	Firmicutes	Spiroplasma	citri		h	u
X63781	g46914	261	Firmicutes	Spiroplasma	citri		h	u
AJ130952	g4456857	186	Firmicutes	Spiroplasma	sp		h	u
AJ130953	g4456858	186	Firmicutes	Spiroplasma	sp		h	u
AJ130954	g4456859	184	Firmicutes	Spiroplasma	sp		h	u
AJ130955	g4456860	272	Firmicutes	Spiroplasma	sp		h	u
U39769	g2668542	458	Firmicutes	Staphylococcus	aureus		h	p
U39771	g2668546	261	Firmicutes	Staphylococcus	epidermidis		h	p
U90018	g2668576	261	Firmicutes	Staphylococcus	epidermidis		h	p
U90019	g2668577	263	Firmicutes	Staphylococcus	epidermidis		h	p
U90020	g2668578	263	Firmicutes	Staphylococcus	epidermidis		h	p
U90021	g2668579	262	Firmicutes	Staphylococcus	epidermidis		h	p
U39770	g2668544	279	Firmicutes	Staphylococcus	hyicus		h	p
U39772	g2668547	375	Firmicutes	Staphylococcus	hyicus		h	p
U90010	g2668568	375	Firmicutes	Staphylococcus	hyicus		h	p
U90011	g2668569	374	Firmicutes	Staphylococcus	hyicus		h	p
U90012	g2668570	376	Firmicutes	Staphylococcus	hyicus		h	p
U90013	g2668571	375	Firmicutes	Staphylococcus	hyicus		h	p
U90014	g2668572	380	Firmicutes	Staphylococcus	hyicus		h	p
U90015	g2668573	378	Firmicutes	Staphylococcus	hyicus		h	p
U90016	g2668574	461	Firmicutes	Staphylococcus	hyicus		h	p
U39813	g2668548	241	Firmicutes	Staphylococcus	simulans		h	p
U39814	g2668549	333	Firmicutes	Staphylococcus	simulans		h	p
U90022	g2668580	242	Firmicutes	Staphylococcus	simulans		h	p
U90023	g2668581	241	Firmicutes	Staphylococcus	simulans		h	p
U90024	g2668582	240	Firmicutes	Staphylococcus	simulans		h	p
U90025	g2668583	241	Firmicutes	Staphylococcus	simulans		h	p
U90026	g2668584	242	Firmicutes	Staphylococcus	simulans		h	p
U90027	g2668585	242	Firmicutes	Staphylococcus	simulans		h	p
U39773	g2668551	283	Firmicutes	Staphylococcus	xylosus		h	p
U90017	g2668575	283	Firmicutes	Staphylococcus	xylosus		h	p
U39765	g2668541	279	Firmicutes	Streptococcus	agalactiae		h	p
U39766	g2668543	272	Firmicutes	Streptococcus	bovis		h	p
L36933	g558134	319	Firmicutes	Streptococcus	constellatus		h	p
AF064441	g3172408	284	Firmicutes	Streptococcus	difficile		h	p
U39767	g2668545	285	Firmicutes	Streptococcus	dysgalactiae		h	p
AB051019	AB051019.1 GI:17298	246	Firmicutes	Streptococcus	gordonii		h	p
AF048773	g2914761	472	Firmicutes	Streptococcus	iniae		h	p
L36935	g558136	392	Firmicutes	Streptococcus	intermedius		h	p
AB051020	AB051020.1 GI:17298	249	Firmicutes	Streptococcus	mitis		h	p
AB051018	AB051018.1 GI:17298	246	Firmicutes	Streptococcus	oralis		h	p
M60763	g153796	250	Firmicutes	Streptococcus	pneumoniae		h	p
AB051016	AB051016.1 GI:17298	273	Firmicutes	Streptococcus	salivarius		h	p
X83760	g758304	273	Firmicutes	Streptococcus	salivarius		h	p
AB051017	AB051017.1 GI:17298	264	Firmicutes	Streptococcus	sanguinis		h	p
AF272245	AF272245.1 GI:14578	328	Firmicutes	Streptococcus	sanguinis		h	p
U32965	g1854594	274	Firmicutes	Streptococcus	thermophilus		h	p
AF255657	AF255657.1 GI:77696	585	Firmicutes	Streptococcus	uberis		h	p
U39768	g2668550	340	Firmicutes	Streptococcus	uberis		h	p
AF088899	AF088899.1 GI:48845	274	Firmicutes	Streptococcus	waiu		h	p
AE002112	AE002112.1 GI:68990	347	Firmicutes	Ureaplasma	urealyticum		h	p
AE002127	AE002127.1 GI:68992	347	Firmicutes	Ureaplasma	urealyticum		h	p
X58561	g48315	303	Firmicutes	Ureaplasma	urealyticum		h	p
AB022066	AB022066.1 GI:72880	553	Firmicutes	Zymophilus	paucivorans		h	u
AB022067	AB022067.1 GI:72880	375	Firmicutes	Zymophilus	paucivorans		h	u
AB022068	AB022068.1 GI:72880	591	Firmicutes	Zymophilus	raffinosivorans		h	u
AB022093	AB022093.1 GI:72880	376	Firmicutes	Zymophilus	raffinosivorans		h	u
AF363751	AF363751.1 GI:13811	305	Fusobacteria	Fusobacterium	necrophorum		h	u
AF363752	AF363752.1 GI:13811	143	Fusobacteria	Fusobacterium	necrophorum		h	u
AJ295326	AJ295326.1 GI:16605	31	Microsporidia	Glugea	plecoglossi		h	p
